Exchdt	Rmbusd
2018-11-30	6.941900
2018-11-29	6.935300
2018-11-28	6.950000
2018-11-27	6.946300
2018-11-26	6.945300
2018-11-23	6.930600
2018-11-22	6.939100
2018-11-21	6.944900
2018-11-20	6.928000
2018-11-19	6.924500
2018-11-16	6.937700
2018-11-15	6.939200
2018-11-14	6.940200
2018-11-13	6.962900
2018-11-12	6.947600
2018-11-09	6.932900
2018-11-08	6.916300
2018-11-07	6.906500
2018-11-06	6.907500
2018-11-05	6.897600
2018-11-02	6.937100
2018-11-01	6.967000
2018-10-31	6.964600
2018-10-30	6.957400
2018-10-29	6.937700
2018-10-26	6.951000
2018-10-25	6.940900
2018-10-24	6.935700
2018-10-23	6.933800
2018-10-22	6.923600
2018-10-19	6.938700
2018-10-18	6.927500
2018-10-17	6.910300
2018-10-16	6.911900
2018-10-15	6.915400
2018-10-12	6.912000
2018-10-11	6.909800
2018-10-10	6.907200
2018-10-09	6.901900
2018-10-08	6.895700
2018-09-28	6.879200
2018-09-27	6.864200
2018-09-26	6.857100
2018-09-25	6.844000
2018-09-21	6.835700
2018-09-20	6.853000
2018-09-19	6.856900
2018-09-18	6.855400
2018-09-17	6.850900
2018-09-14	6.836200
2018-09-13	6.848800
2018-09-12	6.854600
2018-09-11	6.848800
2018-09-10	6.838900
2018-09-07	6.821200
2018-09-06	6.821700
2018-09-05	6.826600
2018-09-04	6.818300
2018-09-03	6.834700
2018-08-31	6.824600
2018-08-30	6.811300
2018-08-29	6.807200
2018-08-28	6.805200
2018-08-27	6.850800
2018-08-24	6.871000
2018-08-23	6.836700
2018-08-22	6.827100
2018-08-21	6.836000
2018-08-20	6.871800
2018-08-17	6.889400
2018-08-16	6.894600
2018-08-15	6.885600
2018-08-14	6.869500
2018-08-13	6.862900
2018-08-10	6.839500
2018-08-09	6.831700
2018-08-08	6.831300
2018-08-07	6.843100
2018-08-06	6.851300
2018-08-03	6.832200
2018-08-02	6.794200
2018-08-01	6.829300
2018-07-31	6.816500
2018-07-30	6.813100
2018-07-27	6.794200
2018-07-26	6.766200
2018-07-25	6.804000
2018-07-24	6.789100
2018-07-23	6.759300
2018-07-20	6.767100
2018-07-19	6.706600
2018-07-18	6.691400
2018-07-17	6.682100
2018-07-16	6.675800
2018-07-13	6.672700
2018-07-12	6.672600
2018-07-11	6.623400
2018-07-10	6.625900
2018-07-09	6.639300
2018-07-06	6.633600
2018-07-05	6.618000
2018-07-04	6.659500
2018-07-03	6.649700
2018-07-02	6.615700
2018-06-29	6.616600
2018-06-28	6.596000
2018-06-27	6.556900
2018-06-26	6.518000
2018-06-25	6.489300
2018-06-22	6.480400
2018-06-21	6.470600
2018-06-20	6.458600
2018-06-19	6.423500
2018-06-15	6.430600
2018-06-14	6.396200
2018-06-13	6.415600
2018-06-12	6.412100
2018-06-11	6.406400
2018-06-08	6.400300
2018-06-07	6.391900
2018-06-06	6.404000
2018-06-05	6.415700
2018-06-04	6.420800
2018-06-01	6.407800
2018-05-31	6.414400
2018-05-30	6.420700
2018-05-29	6.402100
2018-05-28	6.396200
2018-05-25	6.386700
2018-05-24	6.381600
2018-05-23	6.377300
2018-05-22	6.379900
2018-05-21	6.385200
2018-05-18	6.376300
2018-05-17	6.367900
2018-05-16	6.374500
2018-05-15	6.348600
2018-05-14	6.334500
2018-05-11	6.352400
2018-05-10	6.376800
2018-05-09	6.373300
2018-05-08	6.367400
2018-05-07	6.358400
2018-05-04	6.352100
2018-05-03	6.373200
2018-05-02	6.367000
2018-04-27	6.339300
2018-04-26	6.328300
2018-04-25	6.306600
2018-04-24	6.322900
2018-04-23	6.303400
2018-04-20	6.289700
2018-04-19	6.283200
2018-04-18	6.281700
2018-04-17	6.277100
2018-04-16	6.288400
2018-04-13	6.289800
2018-04-12	6.283400
2018-04-11	6.291100
2018-04-10	6.307100
2018-04-09	6.311400
2018-04-04	6.292600
2018-04-03	6.283300
2018-04-02	6.276400
2018-03-30	6.288100
2018-03-29	6.304600
2018-03-28	6.278500
2018-03-27	6.281600
2018-03-26	6.319300
2018-03-23	6.327200
2018-03-22	6.316700
2018-03-21	6.339600
2018-03-20	6.324600
2018-03-19	6.332000
2018-03-16	6.334000
